0.015 0.3 0.045 5.0 [0.453297, 0.603111, 0.755118, 0.510631, 0.754755, 0.591631, 0.564363, 0.545106, 0.461917, 0.547557, 0.513971, 0.54598, 0.589809, 0.694426, 0.400774, 0.550226, 0.570957, 0.340768, 0.647449, 0.403794, 0.640666, 0.562948, 0.573672, 0.527611, 0.528446, 0.385937, 0.530532, 0.398731, 0.45868, 0.84404, 0.553626, 0.594403, 0.632103, 0.603943, 0.34818, 0.659768, 0.474391, 0.54582, 0.541443, 0.47674, 0.632583, 0.462748, 0.584117, 0.5593, 0.648966, 0.448131, 0.643057, 0.334874, 0.58594, 0.535549, 0.657575, 0.62504, 0.5345, 0.6286, 0.712678, 0.336757, 0.477368, 0.275554, 0.507714, 0.419623, 0.697155, 0.595703, 0.527657, 0.439523, 0.396543, 0.647292, 0.679823, 0.390488, 0.449428, 0.468337, 0.644429, 0.456534, 0.536163, 0.536906, 0.4474, 0.494231, 0.481817, 0.530326, 0.380043, 0.3484, 0.578514, 0.426671, 0.445943, 0.566185, 0.51972, 0.487871, 0.468863, 0.591674, 0.502008, 0.498988, 0.417945, 0.488237, 0.474391, 0.489914, 0.490891, 0.646763, 0.395871, 0.457365, 0.641149, 0.479614] [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]
0.015 0.3 0.045 10.0 [0.579957, 0.579762, 0.544308, 0.599065, 0.557147, 0.52366, 0.555331, 0.660469, 0.479168, 0.499547, 0.516703, 0.594265, 0.666604, 0.546809, 0.618726, 0.514377, 0.550531, 0.682981, 0.49647, 0.460491, 0.686006, 0.490689, 0.623692, 0.528306, 0.537671, 0.68452, 0.625578, 0.622883, 0.641968, 0.553503, 0.545704, 0.689135, 0.62225, 0.369017, 0.523565, 0.523609, 0.531466, 0.615543, 0.538538, 0.48945, 0.518525, 0.556716, 0.576638, 0.592199, 0.512854, 0.56527, 0.614785, 0.633695, 0.521779, 0.612814, 0.473924, 0.468851, 0.648793, 0.568784, 0.55569, 0.498683, 0.550419, 0.510953, 0.585327, 0.657446, 0.52857, 0.680028, 0.683418, 0.60287, 0.451071, 0.642767, 0.61354, 0.539898, 0.459934, 0.521563, 0.565603, 0.652044, 0.680535, 0.491777, 0.499957, 0.627854, 0.80164, 0.73664, 0.594904, 0.56827, 0.568367, 0.506226, 0.641449, 0.564446, 0.577296, 0.574662, 0.621256, 0.675261, 0.623517, 0.651518, 0.580683, 0.589667, 0.511923, 0.536748, 0.485009, 0.566283, 0.710402, 0.526818, 0.671619, 0.607258] [16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]
0.015 0.3 0.045 15.0 [0.667344, 0.67318, 0.491683, 0.426934, 0.604326, 0.688379, 0.716085, 0.768195, 0.640536, 0.574842, 0.725044, 0.65345, 0.736364, 0.559063, 0.640195, 0.789716, 0.641851, 0.772411, 0.659983, 0.58298, 0.651515, 0.682495, 0.719707, 0.678277, 0.674174, 0.614476, 0.622034, 0.603153, 0.591149, 0.658426, 0.624638, 0.656534, 0.507601, 0.76541, 0.68184, 0.668011, 0.674128, 0.785117, 0.713495, 0.610389, 0.54182, 0.644306, 0.659299, 0.574616, 0.706057, 0.732451, 0.616653, 0.642327, 0.583348, 0.579823, 0.711987, 0.614494, 0.569252, 0.706593, 0.580966, 0.675523, 0.683796, 0.763257, 0.611352, 0.686594, 0.523411, 0.665235, 0.706919, 0.651117, 0.570755, 0.641813, 0.644122, 0.583788, 0.716365, 0.622335, 0.675167, 0.720845, 0.650453, 0.663582, 0.596338, 0.659815, 0.716812, 0.541668, 0.665032, 0.571665, 0.668403, 0.77463, 0.713595, 0.740843, 0.672077, 0.70579, 0.458365, 0.654677, 0.643875, 0.574482, 0.597421, 0.56071, 0.681789, 0.623378, 0.67032, 0.651318, 0.565913, 0.571123, 0.59186, 0.589893] [26.0, 26.0, 21.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 21.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 21.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 26.0]
0.015 0.3 0.045 20.0 [0.725237, 0.718762, 0.552208, 0.76635, 0.705855, 0.703047, 0.620875, 0.668154, 0.680738, 0.690391, 0.62966, 0.606874, 0.702057, 0.689751, 0.720751, 0.687873, 0.655125, 0.641528, 0.6146, 0.733514, 0.642364, 0.603336, 0.663221, 0.705036, 0.687412, 0.738442, 0.701519, 0.55557, 0.631001, 0.753037, 0.634946, 0.750985, 0.631266, 0.555463, 0.662805, 0.707104, 0.645071, 0.740273, 0.66275, 0.756782, 0.710326, 0.649367, 0.626422, 0.711274, 0.718336, 0.624099, 0.674572, 0.691882, 0.653769, 0.60791, 0.696925, 0.729392, 0.569315, 0.627744, 0.65215, 0.629146, 0.846157, 0.755636, 0.711373, 0.766295, 0.60456, 0.537935, 0.67535, 0.61889, 0.712354, 0.677278, 0.751849, 0.667961, 0.696398, 0.684556, 0.590009, 0.614837, 0.693143, 0.674213, 0.715792, 0.517828, 0.663456, 0.670707, 0.731021, 0.707445, 0.612207, 0.611013, 0.704703, 0.639591, 0.578482, 0.727976, 0.640005, 0.587558, 0.617554, 0.702578, 0.721595, 0.66295, 0.694096, 0.763559, 0.661884, 0.723077, 0.699272, 0.659187, 0.597707, 0.773055] [36.0, 36.0, 36.0, 36.0, 36.0, 28.0, 31.0, 36.0, 31.0, 36.0, 31.0, 36.0, 36.0, 36.0, 36.0, 36.0, 28.0, 31.0, 36.0, 36.0, 36.0, 28.0, 31.0, 31.0, 36.0, 36.0, 31.0, 28.0, 36.0, 36.0, 28.0, 36.0, 28.0, 31.0, 28.0, 31.0, 36.0, 28.0, 31.0, 36.0, 31.0, 36.0, 36.0, 36.0, 31.0, 28.0, 28.0, 31.0, 31.0, 28.0, 36.0, 31.0, 31.0, 36.0, 36.0, 31.0, 31.0, 36.0, 36.0, 31.0, 36.0, 36.0, 36.0, 28.0, 36.0, 31.0, 36.0, 36.0, 36.0, 31.0, 36.0, 31.0, 36.0, 28.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 31.0, 31.0, 31.0, 31.0, 28.0, 36.0, 36.0, 36.0, 31.0, 36.0, 31.0, 36.0, 31.0, 31.0, 31.0, 31.0, 36.0]
0.015 0.3 0.045 25.0 [0.575011, 0.685608, 0.744699, 0.621127, 0.751418, 0.744415, 0.705194, 0.660078, 0.738648, 0.638104, 0.703283, 0.743863, 0.681351, 0.722046, 0.715524, 0.704945, 0.614434, 0.663237, 0.6896, 0.728108, 0.624044, 0.695488, 0.614865, 0.666596, 0.578241, 0.665042, 0.672349, 0.760892, 0.630411, 0.742514, 0.739515, 0.619505, 0.695979, 0.670706, 0.775944, 0.708807, 0.734265, 0.669594, 0.731012, 0.705684, 0.716002, 0.703902, 0.673056, 0.640497, 0.728432, 0.713151, 0.668951, 0.693454, 0.722926, 0.682487, 0.758706, 0.712858, 0.716415, 0.722802, 0.697503, 0.670113, 0.702498, 0.65884, 0.792911, 0.686364, 0.597523, 0.752783, 0.69133, 0.718467, 0.614119, 0.678249, 0.725908, 0.73538, 0.804386, 0.683578, 0.603658, 0.650151, 0.617065, 0.841364, 0.644479, 0.678738, 0.647682, 0.629322, 0.709717, 0.693989, 0.731275, 0.639341, 0.706788, 0.669346, 0.618101, 0.619086, 0.648222, 0.616719, 0.638804, 0.715251, 0.672753, 0.741848, 0.669644, 0.65915, 0.600159, 0.66266, 0.724162, 0.711791, 0.79656, 0.71091] [40.0, 37.0, 40.0, 43.0, 37.0, 40.0, 43.0, 35.0, 46.0, 37.0, 40.0, 40.0, 35.0, 43.0, 40.0, 35.0, 37.0, 43.0, 40.0, 35.0, 46.0, 37.0, 43.0, 40.0, 43.0, 35.0, 35.0, 40.0, 35.0, 46.0, 40.0, 35.0, 40.0, 37.0, 43.0, 35.0, 37.0, 46.0, 40.0, 37.0, 43.0, 40.0, 43.0, 35.0, 40.0, 37.0, 35.0, 40.0, 40.0, 43.0, 37.0, 35.0, 46.0, 43.0, 40.0, 43.0, 40.0, 35.0, 40.0, 43.0, 35.0, 43.0, 35.0, 35.0, 37.0, 43.0, 37.0, 37.0, 43.0, 37.0, 46.0, 43.0, 40.0, 43.0, 40.0, 43.0, 43.0, 43.0, 43.0, 43.0, 43.0, 37.0, 37.0, 40.0, 43.0, 43.0, 35.0, 43.0, 37.0, 40.0, 43.0, 37.0, 43.0, 40.0, 35.0, 43.0, 43.0, 35.0, 35.0, 40.0]
0.015 0.3 0.045 30.0 [0.720362, 0.661976, 0.692334, 0.679039, 0.690117, 0.66489, 0.743697, 0.618457, 0.733024, 0.669129, 0.706452, 0.656879, 0.744276, 0.642314, 0.684312, 0.733815, 0.650357, 0.602911, 0.870742, 0.62291, 0.724245, 0.664381, 0.692351, 0.642473, 0.692191, 0.688688, 0.734583, 0.657292, 0.647329, 0.710945, 0.717193, 0.687176, 0.668765, 0.728892, 0.692218, 0.686876, 0.666038, 0.610471, 0.727188, 0.748608, 0.63834, 0.657301, 0.615728, 0.702461, 0.693547, 0.633326, 0.621712, 0.693393, 0.724267, 0.696461, 0.615112, 0.708617, 0.748624, 0.71493, 0.699522, 0.728786, 0.641525, 0.668784, 0.710263, 0.712506, 0.696944, 0.752299, 0.719002, 0.696601, 0.677549, 0.705288, 0.607405, 0.659402, 0.664591, 0.70953, 0.722411, 0.820332, 0.640262, 0.722017, 0.652525, 0.743642, 0.597166, 0.729631, 0.736572, 0.701296, 0.702152, 0.682731, 0.737467, 0.687354, 0.715416, 0.776131, 0.711037, 0.678215, 0.696315, 0.605423, 0.675335, 0.724757, 0.702149, 0.672258, 0.661108, 0.637308, 0.70877, 0.733667, 0.734433, 0.672197] [48.0, 39.0, 48.0, 51.0, 36.0, 39.0, 56.0, 39.0, 48.0, 48.0, 39.0, 44.0, 39.0, 36.0, 39.0, 56.0, 51.0, 39.0, 48.0, 51.0, 36.0, 39.0, 39.0, 44.0, 39.0, 51.0, 39.0, 51.0, 48.0, 39.0, 48.0, 44.0, 44.0, 51.0, 39.0, 48.0, 48.0, 39.0, 48.0, 44.0, 39.0, 39.0, 44.0, 44.0, 44.0, 48.0, 39.0, 48.0, 51.0, 44.0, 51.0, 48.0, 44.0, 39.0, 39.0, 44.0, 44.0, 51.0, 39.0, 39.0, 51.0, 56.0, 44.0, 48.0, 44.0, 39.0, 39.0, 44.0, 51.0, 36.0, 51.0, 44.0, 48.0, 44.0, 36.0, 51.0, 51.0, 39.0, 44.0, 51.0, 44.0, 39.0, 48.0, 39.0, 44.0, 44.0, 48.0, 56.0, 39.0, 44.0, 48.0, 39.0, 48.0, 44.0, 39.0, 44.0, 48.0, 36.0, 39.0, 48.0]
0.015 0.3 0.045 35.0 [0.70473, 0.683874, 0.613619, 0.650703, 0.685735, 0.598132, 0.714192, 0.666347, 0.633325, 0.726295, 0.673654, 0.719519, 0.746387, 0.651917, 0.790662, 0.654828, 0.796648, 0.69255, 0.674767, 0.751284, 0.682965, 0.709519, 0.708693, 0.66451, 0.717434, 0.652902, 0.71561, 0.708217, 0.685285, 0.714751, 0.581447, 0.793864, 0.763534, 0.748139, 0.742495, 0.720844, 0.629281, 0.685495, 0.747244, 0.690138, 0.716207, 0.659279, 0.669753, 0.695385, 0.719905, 0.688633, 0.687914, 0.707845, 0.735037, 0.673902, 0.693678, 0.751409, 0.6863, 0.738775, 0.682336, 0.688682, 0.74169, 0.700458, 0.675183, 0.661649, 0.731062, 0.724436, 0.695098, 0.665787, 0.707347, 0.705346, 0.737578, 0.694475, 0.67376, 0.789833, 0.783377, 0.667014, 0.649616, 0.65071, 0.690938, 0.668836, 0.74761, 0.755623, 0.743889, 0.731061, 0.666309, 0.692998, 0.636414, 0.685844, 0.719027, 0.680624, 0.645771, 0.681239, 0.693899, 0.638801, 0.661519, 0.744926, 0.626343, 0.643493, 0.672385, 0.715794, 0.692838, 0.686259, 0.725753, 0.732623] [58.0, 47.0, 43.0, 47.0, 51.0, 61.0, 56.0, 51.0, 56.0, 47.0, 56.0, 51.0, 47.0, 56.0, 51.0, 47.0, 47.0, 47.0, 47.0, 47.0, 58.0, 47.0, 51.0, 47.0, 51.0, 40.0, 43.0, 47.0, 43.0, 56.0, 43.0, 47.0, 56.0, 47.0, 47.0, 51.0, 47.0, 47.0, 51.0, 47.0, 47.0, 47.0, 47.0, 56.0, 47.0, 47.0, 51.0, 47.0, 56.0, 51.0, 51.0, 47.0, 47.0, 47.0, 47.0, 47.0, 56.0, 40.0, 47.0, 47.0, 51.0, 47.0, 51.0, 56.0, 47.0, 40.0, 56.0, 43.0, 47.0, 47.0, 47.0, 40.0, 40.0, 56.0, 51.0, 51.0, 58.0, 47.0, 56.0, 51.0, 61.0, 51.0, 51.0, 47.0, 47.0, 56.0, 56.0, 65.0, 47.0, 56.0, 47.0, 47.0, 51.0, 51.0, 47.0, 47.0, 58.0, 47.0, 47.0, 43.0]
0.015 0.3 0.045 40.0 [0.680809, 0.692992, 0.755896, 0.697231, 0.760473, 0.716852, 0.714772, 0.621345, 0.7085, 0.748625, 0.683877, 0.737763, 0.759522, 0.660867, 0.729642, 0.709239, 0.695465, 0.720517, 0.750419, 0.741231, 0.686395, 0.634249, 0.654585, 0.756314, 0.75096, 0.679181, 0.663669, 0.72075, 0.709751, 0.736662, 0.730974, 0.70332, 0.728698, 0.585003, 0.721916, 0.670791, 0.729247, 0.740611, 0.692249, 0.666814, 0.66689, 0.703889, 0.680679, 0.688055, 0.641758, 0.658787, 0.637071, 0.693411, 0.722691, 0.627092, 0.777682, 0.694931, 0.774261, 0.689018, 0.717773, 0.711247, 0.756174, 0.762635, 0.672481, 0.748092, 0.672886, 0.788506, 0.72908, 0.667685, 0.620553, 0.655203, 0.668507, 0.72476, 0.739512, 0.787489, 0.707636, 0.726611, 0.626573, 0.715484, 0.695212, 0.648247, 0.683121, 0.6258, 0.708936, 0.652529, 0.760141, 0.744851, 0.713896, 0.679724, 0.676995, 0.709188, 0.708219, 0.726068, 0.688045, 0.780629, 0.739436, 0.710911, 0.717182, 0.712594, 0.743723, 0.706782, 0.663528, 0.703281, 0.693894, 0.771818] [64.0, 66.0, 49.0, 64.0, 56.0, 47.0, 56.0, 49.0, 52.0, 47.0, 47.0, 64.0, 52.0, 56.0, 52.0, 56.0, 59.0, 52.0, 52.0, 56.0, 52.0, 52.0, 59.0, 64.0, 59.0, 47.0, 49.0, 49.0, 52.0, 59.0, 64.0, 52.0, 47.0, 59.0, 52.0, 56.0, 47.0, 52.0, 49.0, 47.0, 59.0, 52.0, 64.0, 49.0, 49.0, 69.0, 52.0, 56.0, 59.0, 42.0, 52.0, 64.0, 49.0, 52.0, 56.0, 56.0, 52.0, 52.0, 42.0, 49.0, 47.0, 64.0, 56.0, 59.0, 59.0, 64.0, 59.0, 52.0, 59.0, 56.0, 66.0, 52.0, 56.0, 52.0, 56.0, 42.0, 52.0, 64.0, 56.0, 64.0, 56.0, 49.0, 52.0, 56.0, 59.0, 64.0, 56.0, 52.0, 52.0, 49.0, 56.0, 49.0, 47.0, 56.0, 56.0, 47.0, 64.0, 49.0, 64.0, 49.0]
0.015 0.3 0.045 45.0 [0.6763, 0.611214, 0.698426, 0.664284, 0.688195, 0.6813, 0.638038, 0.690799, 0.743613, 0.630164, 0.736036, 0.759392, 0.732427, 0.710003, 0.746461, 0.661977, 0.670217, 0.717678, 0.682117, 0.702187, 0.722145, 0.68412, 0.668894, 0.630848, 0.729397, 0.704568, 0.774112, 0.749769, 0.777165, 0.69343, 0.693139, 0.700919, 0.755374, 0.682141, 0.672316, 0.725828, 0.697501, 0.663457, 0.766274, 0.700369, 0.672942, 0.706328, 0.650764, 0.791263, 0.705915, 0.729037, 0.711521, 0.708949, 0.71926, 0.729967, 0.638734, 0.649591, 0.724708, 0.697464, 0.699924, 0.665534, 0.731984, 0.733969, 0.800269, 0.683519, 0.737805, 0.69096, 0.726388, 0.64917, 0.617646, 0.791734, 0.735281, 0.621538, 0.675145, 0.703877, 0.763996, 0.734087, 0.685751, 0.716306, 0.776378, 0.718624, 0.735992, 0.744035, 0.74905, 0.670976, 0.74685, 0.701391, 0.703109, 0.64443, 0.678987, 0.700556, 0.71157, 0.711966, 0.689256, 0.723674, 0.687982, 0.650497, 0.731332, 0.713782, 0.667677, 0.586222, 0.656662, 0.730985, 0.659348, 0.815814] [58.0, 69.0, 66.0, 62.0, 55.0, 50.0, 69.0, 66.0, 55.0, 55.0, 62.0, 62.0, 55.0, 55.0, 58.0, 50.0, 58.0, 55.0, 55.0, 58.0, 58.0, 58.0, 55.0, 58.0, 66.0, 69.0, 69.0, 58.0, 58.0, 58.0, 50.0, 69.0, 62.0, 66.0, 78.0, 69.0, 66.0, 62.0, 66.0, 55.0, 58.0, 47.0, 69.0, 55.0, 50.0, 66.0, 55.0, 50.0, 55.0, 58.0, 58.0, 62.0, 62.0, 62.0, 66.0, 62.0, 55.0, 58.0, 58.0, 58.0, 55.0, 58.0, 62.0, 66.0, 47.0, 69.0, 55.0, 50.0, 50.0, 58.0, 58.0, 69.0, 58.0, 58.0, 55.0, 62.0, 69.0, 55.0, 55.0, 58.0, 62.0, 58.0, 62.0, 62.0, 66.0, 62.0, 55.0, 55.0, 58.0, 58.0, 50.0, 55.0, 69.0, 58.0, 55.0, 69.0, 50.0, 58.0, 58.0, 55.0]
0.015 0.3 0.045 50.0 [0.714169, 0.775148, 0.704692, 0.682808, 0.694742, 0.672541, 0.675129, 0.776212, 0.724676, 0.722273, 0.751213, 0.680852, 0.700232, 0.647111, 0.721585, 0.694226, 0.763466, 0.742776, 0.67257, 0.627552, 0.72159, 0.678775, 0.753774, 0.728927, 0.720121, 0.678674, 0.700251, 0.736636, 0.647358, 0.78073, 0.626238, 0.702025, 0.764879, 0.701149, 0.781723, 0.690514, 0.657339, 0.751645, 0.706045, 0.719537, 0.605949, 0.725776, 0.748864, 0.664315, 0.750115, 0.676389, 0.73976, 0.70614, 0.682887, 0.662201, 0.692341, 0.752224, 0.735607, 0.731692, 0.674887, 0.703469, 0.729351, 0.630071, 0.707018, 0.732353, 0.66126, 0.814431, 0.684376, 0.65124, 0.752598, 0.759807, 0.703726, 0.746785, 0.687043, 0.682501, 0.747325, 0.739157, 0.676131, 0.777147, 0.738085, 0.632289, 0.654756, 0.665623, 0.713373, 0.747556, 0.698151, 0.686837, 0.664245, 0.701496, 0.706739, 0.762346, 0.678504, 0.6314, 0.651359, 0.757543, 0.742108, 0.704196, 0.704014, 0.710062, 0.705028, 0.693846, 0.757074, 0.717013, 0.669947, 0.721747] [60.0, 64.0, 77.0, 60.0, 69.0, 60.0, 64.0, 60.0, 64.0, 52.0, 56.0, 60.0, 56.0, 69.0, 69.0, 64.0, 60.0, 64.0, 60.0, 77.0, 64.0, 69.0, 60.0, 64.0, 56.0, 60.0, 56.0, 56.0, 69.0, 60.0, 64.0, 60.0, 64.0, 56.0, 52.0, 64.0, 64.0, 56.0, 73.0, 69.0, 56.0, 52.0, 64.0, 64.0, 60.0, 56.0, 64.0, 52.0, 77.0, 69.0, 64.0, 69.0, 69.0, 64.0, 64.0, 60.0, 56.0, 60.0, 56.0, 60.0, 69.0, 60.0, 52.0, 60.0, 52.0, 64.0, 77.0, 64.0, 64.0, 64.0, 60.0, 56.0, 56.0, 56.0, 56.0, 73.0, 77.0, 64.0, 64.0, 56.0, 64.0, 69.0, 60.0, 60.0, 56.0, 64.0, 56.0, 60.0, 56.0, 64.0, 69.0, 64.0, 60.0, 64.0, 56.0, 64.0, 64.0, 60.0, 64.0, 77.0]
